sku;product-id;product-id-type;price;quantity;state;update-delete;canon;tipo-iva
LP1023F-B;8433281001565;EAN;11,82;3;11;update;0.00;21.00
LP2042TNL-B;8433281007123;EAN;16,13;1;11;update;0.00;21.00
LP2142TNL-B;8433281007130;EAN;19,84;1;11;update;0.00;21.00
LP4155F-B;8433281007147;EAN;16,39;1;11;update;0.00;21.00
LP4170F-B;8433281007154;EAN;16,71;1;11;update;0.00;21.00
LP4255T-B;8433281007161;EAN;17,49;8;11;update;0.00;21.00
LP4270T-B;8433281007178;EAN;20,73;5;11;update;0.00;21.00
LP6070TN-B;8433281006935;EAN;46,83;1;11;update;0.00;21.00
LP6270TN-B;8433281006942;EAN;59,64;2;11;update;0.00;21.00
LPCE1155TSLI-B;8433281007185;EAN;75,10;1;11;update;0.00;21.00
FS1870M-B;8433281007444;EAN;287,32;84;11;update;0.00;21.00
CH-9100020-EU;0843591021159;EAN;20,25;9;11;update;0.00;21.00
TQBC-E2501;8433281007550;EAN;12,54;1;11;update;0.00;21.00
DB3032TNR-S;8433281007970;EAN;69,47;2;11;update;0.00;21.00
LP2255TN-B;8433281007956;EAN;19,83;2;11;update;0.00;21.00
LP41100F-B;8433281007932;EAN;36,36;1;11;update;0.00;21.00
LP42100T-B;8433281007949;EAN;40,91;0;11;update;0.00;21.00
LP6055TN-B;8433281007963;EAN;22,75;2;11;update;0.00;21.00
LP2355TN-B;8433281008168;EAN;65,55;0;11;update;0.00;21.00
FS1470M-B;8433281008229;EAN;123,72;203;11;update;0.00;21.00
DB1727TN-B;8433281008410;EAN;63,20;1;11;update;0.00;21.00
WT42TS-005;8436574703252;EAN;19,61;1;11;update;0.00;21.00
WT42TSE-007;8436574703269;EAN;20,79;1;11;update;0.00;21.00
WT42TSLE-009;8436574703276;EAN;15,35;2;11;update;0.00;21.00
WT42TSLE-011;8436574703283;EAN;18,82;1;11;update;0.00;21.00
WT55F-013;8436574703290;EAN;15,12;22;11;update;0.00;21.00
WT55T-015;8436574703306;EAN;16,68;7;11;update;0.00;21.00
WT70T-017;8436574703313;EAN;18,46;1;11;update;0.00;21.00
WT70T-019;8436574703320;EAN;27,95;9;11;update;0.00;21.00
WT70TSLE-021;8436574703337;EAN;29,03;0;11;update;0.00;21.00
WT70TSLE-023;8436574703344;EAN;39,03;1;11;update;0.00;21.00
WT70TSLE-025;8436574703351;EAN;38,34;1;11;update;0.00;21.00
WT70TSLE-027;8436574703368;EAN;53,08;13;11;update;0.00;21.00
WT70TSLE-029;8436574703375;EAN;68,79;1;11;update;0.00;21.00
CT70TSLE-033;8436574703399;EAN;77,46;0;11;update;0.00;21.00
FT70TE-035;8436574703405;EAN;112,82;137;11;update;0.00;21.00
FT70TRE-037;8436574703412;EAN;241,14;103;11;update;0.00;21.00
DT32TSR-039;8436574703429;EAN;32,38;1;11;update;0.00;21.00
DT32TSR-041;8436574703436;EAN;36,10;1;11;update;0.00;21.00
DT27TSR-043;8436574703443;EAN;41,82;1;11;update;0.00;21.00
DT27TSR-045;8436574703450;EAN;62,06;4;11;update;0.00;21.00
TCCH0001-B;8433281009578;EAN;15,69;7;11;update;0.00;21.00
UMCS0004-B;8433281009493;EAN;21,65;2;11;update;0.00;21.00
VMA0200-B;8433281009486;EAN;12,27;2;11;update;0.00;21.00
DB1032TN-B;8433281008052;EAN;36,20;1;11;update;0.00;21.00
DB1232TN-B;8433281008069;EAN;38,07;5;11;update;0.00;21.00
DB1327TN-B;8433281008267;EAN;79,90;1;11;update;0.00;21.00
FS20100M-B;8433281008427;EAN;277,72;55;11;update;0.00;21.00
FS20200M-B;8433281009530;EAN;224,90;38;11;update;0.00;21.00
LP41130F-B;8433281008380;EAN;48,65;2;11;update;0.00;21.00
LP42130T-B;8433281008397;EAN;66,97;1;11;update;0.00;21.00
LP75100TN-B;8433281007451;EAN;112,69;2;11;update;0.00;21.00
COO-DGMOB01;8436556148682;EAN;211,24;0;11;update;0.00;21.00
DB1127TN-B;8433281009721;EAN;32,29;13;11;update;0.00;21.00
CT43TSE-053;8436574703948;EAN;41,13;3;11;update;0.00;21.00
LP1242F-B;8433281009790;EAN;13,23;1;11;update;0.00;21.00
DB3265F-B;8433281009813;EAN;56,71;2;11;update;0.00;21.00
MPC01-055;8436574704082;EAN;10,71;1;11;update;0.00;21.00
FOOTNEST;8435430617924;EAN;29,40;4;11;update;0.00;21.00
KILIMBLACK;8435430617788;EAN;12,36;2;11;update;0.00;21.00
LPCE1170TSLI-B;8433281009820;EAN;83,64;0;11;update;0.00;21.00
TAL-CAMALEON;8436550235234;EAN;246,36;22;11;update;0.00;21.00
COO-DGMOB03;8436556143823;EAN;193,99;0;11;update;0.00;21.00
COO-DGMOB04;8436556143755;EAN;218,28;0;11;update;0.00;21.00
WT55TSE-057;8436574704266;EAN;19,62;1;11;update;0.00;21.00
WT55TSE-059;8436574704273;EAN;22,35;5;11;update;0.00;21.00
LP4380XL-B;8433281010000;EAN;81,20;1;11;update;0.00;21.00
LP4391T-B;8433281010024;EAN;33,57;3;11;update;0.00;21.00
LP4390F-B;8433281010017;EAN;24,84;1;11;update;0.00;21.00
LP3790TN-B;8433281010031;EAN;87,94;1;11;update;0.00;21.00
TCCH0007-B;8433281010093;EAN;10,77;60;11;update;0.00;21.00
TAL-GECKO-BLU;8436550235630;EAN;173,54;0;11;update;0.00;21.00
10.37.0004;8433281010161;EAN;15,18;0;11;update;0.00;21.00
10.37.0004-BK;8433281010178;EAN;15,18;0;11;update;0.00;21.00
10.37.0006;8433281010185;EAN;16,35;3;11;update;0.00;21.00
